gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000119440.7,LCN1P1,1.298968965295154,0.1634270080222175,0.19395457996734822,0.04599736081200487,0.0913781971692687,2.38370722490592e-08,NA,16,19,19
ENSG00000230069.3,LRRC37A15P,1.298626842068778,0.07345018606232773,0.19407202161994508,0.133788965575716,0.245085042079993,2.39462386359013e-22,NA,29,40,40
ENSG00000103253.13,HAGHL,1.2974418365305713,0.25503628610595763,0.19447920548551112,0.018123317402241015,0.0909329279641378,2.54765543854833e-08,NA,4,7,7
ENSG00000053501.8,USE1,1.2973469737664913,0.2360559389705361,0.19451182868855144,0.01832179876272997,0.0595022433932195,6.47122449577919e-06,NA,10,15,15
ENSG00000181074.3,OR52N4,-1.2968699432818662,-0.09092350483500268,0.19467593982755438,0.07932438123183397,0.177348771072731,4.01024403483324e-16,NA,5,5,5
ENSG00000226180.2,AC010536.1,1.296823739481215,0.16643164150864861,0.19469184055472677,0.04587378334559092,0.102756163560052,2.16521523337171e-09,NA,10,10,10
ENSG00000091262.10,ABCC6,-1.2959714126576443,-0.4080988527874445,0.19498533402151474,0.00671202031475509,0.0688110100077081,1.23934903434196e-06,NA,2,4,4
ENSG00000113249.8,HAVCR1,-1.2956092235563097,-0.12771673804111358,0.19511014979419783,0.08636210288311513,0.176118725169651,7.57384887275853e-16,NA,7,8,8
ENSG00000165629.15,ATP5C1,1.2951290670686795,0.15964775142020995,0.19527570920519277,0.025125586878721077,0.0531788581605517,2.73761542145846e-05,NA,20,22,22
ENSG00000103540.12,CCP110,-1.2950904880430665,-0.27335292911115844,0.19528901583949154,0.02374513911357988,0.0171655889080206,0.0174103039049485,NA,33,39,39
ENSG00000144034.10,TPRKB,-1.2950858361562267,-0.7798461735905363,0.19529062040800726,0.001107708535734647,0.0123244964199521,0.0454422146136348,NA,15,17,17
ENSG00000204070.5,SYS1,-1.2918346428424152,-0.26564407784857874,0.19641441540815552,0.011504319557346146,0.0392272756216573,0.000296353199903906,NA,11,15,15
ENSG00000215481.4,BCRP3,-1.291409194431711,-0.09179966718964927,0.1965618240724366,0.11109346871592389,0.0876754465239938,2.68947974657357e-08,NA,37,45,45
ENSG00000249244.1,RP11-548H18.2,1.2912886114081306,0.13654855044461184,0.19660361821339623,0.03087356891922681,0.0365307014936716,0.000480886462271094,NA,15,19,19
ENSG00000222019.3,URAHP,-1.2908533655021033,-0.3551431027883613,0.19675452882367006,0.006144181742166254,0.0465782283225351,7.14667053167681e-05,NA,5,10,10
ENSG00000167083.2,GNGT2,-1.29048746415874,-0.1698925015681114,0.19688146156300423,0.03709209066272244,0.0471517905031296,7.71111012945903e-05,NA,28,34,34
ENSG00000155926.9,SLA,1.2897661022872307,0.1900145140141229,0.19713188068872245,0.024521052605685486,0.0255393413457053,0.0036808963454938,NA,20,22,22
ENSG00000180398.7,MCFD2,-1.2892808081048368,-0.07468359461453623,0.19730048060547334,0.15614480123167762,0.176062379106866,1.15578246162324e-15,NA,34,39,39
ENSG00000157259.6,GATAD1,-1.2889843854510092,-0.08928627745559302,0.19740351507049902,0.0768659336885985,0.170561720698693,4.0283898071303e-15,NA,10,13,13
ENSG00000157445.10,CACNA2D3,1.288858827250292,0.15461646626621378,0.19744717010423007,0.03755972376654725,0.0867059482835148,4.43372025335323e-08,NA,13,13,13
ENSG00000138294.9,MSMB,1.288790123229057,0.42134156553769586,0.19747106063346964,0.005247912401230206,0.0268393418477354,0.00274520719835479,NA,7,20,20
